case_id,date_reception,commune,activite,type_autorisation,canal_depot,pieces_fournies,pieces_obligatoires_attendues,pieces_manquantes,service_competent,delai_instruction_indicatif,risque_principal,decision_attendue,niveau_hitl,question_administrateur_exemple,relations_graphrag_attendues,source_principale_url,note
AUT-2026-0093,2026-07-10,Settat,agence de voyage,autorisation ouverture etablissement,Guichet commune,demande manuscrite; certificat propriete ou bail; statuts societe; certificat de conformite; photos du local; registre de commerce; plan cadastral,demande d'autorisation; demande manuscrite; registre de commerce; certificat de conformite; plan cadastral; photos du local; CIN representant,demande d'autorisation; CIN representant,division affaires economiques,15 jours,dossier depose dans mauvais service,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0093 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->demande d'autorisation;demande manuscrite;registre de commerce;certificat de conformite;plan cadastral;photos du local;CIN representant; Dossier->a_fourni->demande manuscrite;certificat propriete ou bail;statuts societe;certificat de conformite;photos du local;registre de commerce;plan cadastral; Dossier->manque->demande d'autorisation;CIN representant; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0094,2026-07-12,Agadir,agence de voyage,autorisation activite alimentaire,Guichet commune,certificat propriete ou bail; statuts societe; certificat de conformite; registre de commerce; demande d'autorisation; plan amenagement; CIN representant,CIN representant; certificat propriete ou bail; registre de commerce; photos du local; statuts societe; demande d'autorisation; certificat de conformite,photos du local,service autorisations economiques,30 jours,risque hygiene/securite,demande_complement,ROUGE,Verifier si le dossier AUT-2026-0094 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->CIN representant;certificat propriete ou bail;registre de commerce;photos du local;statuts societe;demande d'autorisation;certificat de conformite; Dossier->a_fourni->certificat propriete ou bail;statuts societe;certificat de conformite;registre de commerce;demande d'autorisation;plan amenagement;CIN representant; Dossier->manque->photos du local; Risque->ROUGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0095,2026-07-14,Agadir,salon de coiffure,autorisation activite alimentaire,Guichet commune,statuts societe; registre de commerce; photos du local; plan cadastral; demande manuscrite; CIN representant; certificat propriete ou bail,CIN representant; photos du local; plan amenagement; certificat de conformite; registre de commerce,plan amenagement; certificat de conformite,plateforme Rokhas,30 jours,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0095 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->CIN representant;photos du local;plan amenagement;certificat de conformite;registre de commerce; Dossier->a_fourni->statuts societe;registre de commerce;photos du local;plan cadastral;demande manuscrite;CIN representant;certificat propriete ou bail; Dossier->manque->plan amenagement;certificat de conformite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0096,2026-07-16,Fes,imprimerie,autorisation enseigne,CRI,demande manuscrite; certificat propriete ou bail; registre de commerce; photos du local; statuts societe; demande d'autorisation,photos du local; plan amenagement; demande manuscrite; CIN representant; registre de commerce; certificat de conformite,plan amenagement; CIN representant; certificat de conformite,service autorisations economiques,7 jours,surface local non documentee,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0096 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->photos du local;plan amenagement;demande manuscrite;CIN representant;registre de commerce;certificat de conformite; Dossier->a_fourni->demande manuscrite;certificat propriete ou bail;registre de commerce;photos du local;statuts societe;demande d'autorisation; Dossier->manque->plan amenagement;CIN representant;certificat de conformite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0097,2026-07-18,Oujda,salon de coiffure,autorisation exploitation commerciale,CRI,demande manuscrite; certificat de conformite; plan amenagement; photos du local; certificat propriete ou bail,certificat de conformite; plan cadastral; CIN representant; demande d'autorisation; statuts societe,plan cadastral; CIN representant; demande d'autorisation; statuts societe,division affaires economiques,a confirmer par service competent,risque hygiene/securite,demande_complement,ROUGE,Verifier si le dossier AUT-2026-0097 permet d'instruire une autorisation exploitation commerciale et lister les pieces manquantes.,autorisation exploitation commerciale->exige->certificat de conformite;plan cadastral;CIN representant;demande d'autorisation;statuts societe; Dossier->a_fourni->demande manuscrite;certificat de conformite;plan amenagement;photos du local;certificat propriete ou bail; Dossier->manque->plan cadastral;CIN representant;demande d'autorisation;statuts societe; Risque->ROUGE,https://rabat.eregulations.org/procedure/112/75?l=fr,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0098,2026-07-20,Agadir,atelier de fabrication textile,autorisation activite alimentaire,Guichet commune,registre de commerce; demande manuscrite; certificat de conformite; CIN representant; certificat propriete ou bail; photos du local; statuts societe,plan cadastral; photos du local; demande d'autorisation; demande manuscrite; certificat propriete ou bail,plan cadastral; demande d'autorisation,plateforme Rokhas,15 jours,aucun risque majeur,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0098 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->plan cadastral;photos du local;demande d'autorisation;demande manuscrite;certificat propriete ou bail; Dossier->a_fourni->registre de commerce;demande manuscrite;certificat de conformite;CIN representant;certificat propriete ou bail;photos du local;statuts societe; Dossier->manque->plan cadastral;demande d'autorisation; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0099,2026-07-22,Tetouan,fabrication de mobilier,autorisation exploitation commerciale,CRI,plan amenagement; certificat de conformite; demande d'autorisation; demande manuscrite; photos du local; registre de commerce,photos du local; CIN representant; demande d'autorisation; certificat de conformite; certificat propriete ou bail; statuts societe; registre de commerce,CIN representant; certificat propriete ou bail; statuts societe,CRI / orientation investissement,15 jours,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0099 permet d'instruire une autorisation exploitation commerciale et lister les pieces manquantes.,autorisation exploitation commerciale->exige->photos du local;CIN representant;demande d'autorisation;certificat de conformite;certificat propriete ou bail;statuts societe;registre de commerce; Dossier->a_fourni->plan amenagement;certificat de conformite;demande d'autorisation;demande manuscrite;photos du local;registre de commerce; Dossier->manque->CIN representant;certificat propriete ou bail;statuts societe; Risque->ORANGE,https://rabat.eregulations.org/procedure/112/75?l=fr,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0100,2026-07-24,Fes,salon de coiffure,autorisation occupation temporaire,Rokhas,plan amenagement; certificat de conformite; demande d'autorisation; statuts societe; certificat propriete ou bail,photos du local; certificat propriete ou bail; statuts societe; CIN representant; demande manuscrite; plan amenagement; plan cadastral; certificat de conformite,photos du local; CIN representant; demande manuscrite; plan cadastral,CRI / orientation investissement,30 jours,aucun risque majeur,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0100 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->photos du local;certificat propriete ou bail;statuts societe;CIN representant;demande manuscrite;plan amenagement;plan cadastral;certificat de conformite; Dossier->a_fourni->plan amenagement;certificat de conformite;demande d'autorisation;statuts societe;certificat propriete ou bail; Dossier->manque->photos du local;CIN representant;demande manuscrite;plan cadastral; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0101,2026-07-26,Meknes,imprimerie,autorisation simple declaration,Guichet commune,plan cadastral; photos du local; certificat propriete ou bail; CIN representant,registre de commerce; certificat de conformite; photos du local; statuts societe; plan amenagement; demande d'autorisation,registre de commerce; certificat de conformite; statuts societe; plan amenagement; demande d'autorisation,plateforme Rokhas,7 jours,aucun risque majeur,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0101 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->registre de commerce;certificat de conformite;photos du local;statuts societe;plan amenagement;demande d'autorisation; Dossier->a_fourni->plan cadastral;photos du local;certificat propriete ou bail;CIN representant; Dossier->manque->registre de commerce;certificat de conformite;statuts societe;plan amenagement;demande d'autorisation; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0102,2026-07-28,Tanger,atelier mecanique,autorisation simple declaration,Depot papier scanne,certificat de conformite; registre de commerce; demande d'autorisation,registre de commerce; certificat de conformite; demande manuscrite; photos du local; statuts societe,demande manuscrite; photos du local; statuts societe,CRI / orientation investissement,7 jours,piece identite absente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0102 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->registre de commerce;certificat de conformite;demande manuscrite;photos du local;statuts societe; Dossier->a_fourni->certificat de conformite;registre de commerce;demande d'autorisation; Dossier->manque->demande manuscrite;photos du local;statuts societe; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0103,2026-07-30,Fes,hebergement touristique,autorisation ouverture etablissement,Depot papier scanne,plan cadastral; registre de commerce; demande manuscrite; statuts societe,certificat propriete ou bail; CIN representant; plan amenagement; statuts societe; demande manuscrite; photos du local; certificat de conformite,certificat propriete ou bail; CIN representant; plan amenagement; photos du local; certificat de conformite,CRI / orientation investissement,7 jours,surface local non documentee,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0103 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->certificat propriete ou bail;CIN representant;plan amenagement;statuts societe;demande manuscrite;photos du local;certificat de conformite; Dossier->a_fourni->plan cadastral;registre de commerce;demande manuscrite;statuts societe; Dossier->manque->certificat propriete ou bail;CIN representant;plan amenagement;photos du local;certificat de conformite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0104,2026-08-01,Meknes,agence de voyage,autorisation simple declaration,Rokhas,certificat propriete ou bail; registre de commerce; plan amenagement; statuts societe; plan cadastral; demande d'autorisation; photos du local,plan cadastral; registre de commerce; certificat propriete ou bail; demande d'autorisation; plan amenagement; statuts societe; CIN representant; certificat de conformite,CIN representant; certificat de conformite,plateforme Rokhas,a confirmer par service competent,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0104 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->plan cadastral;registre de commerce;certificat propriete ou bail;demande d'autorisation;plan amenagement;statuts societe;CIN representant;certificat de conformite; Dossier->a_fourni->certificat propriete ou bail;registre de commerce;plan amenagement;statuts societe;plan cadastral;demande d'autorisation;photos du local; Dossier->manque->CIN representant;certificat de conformite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0105,2026-08-03,Rabat,logistique urbaine,autorisation enseigne,Depot papier scanne,photos du local; certificat propriete ou bail; plan cadastral; demande manuscrite; registre de commerce; CIN representant,demande manuscrite; plan cadastral; CIN representant; certificat de conformite; plan amenagement,certificat de conformite; plan amenagement,guichet commune,15 jours,adresse divergente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0105 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->demande manuscrite;plan cadastral;CIN representant;certificat de conformite;plan amenagement; Dossier->a_fourni->photos du local;certificat propriete ou bail;plan cadastral;demande manuscrite;registre de commerce;CIN representant; Dossier->manque->certificat de conformite;plan amenagement; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0106,2026-08-05,Settat,fabrication de mobilier,autorisation exploitation commerciale,CRI,CIN representant; photos du local; plan cadastral; registre de commerce; demande d'autorisation; certificat propriete ou bail,certificat de conformite; demande manuscrite; certificat propriete ou bail; statuts societe; demande d'autorisation,certificat de conformite; demande manuscrite; statuts societe,CRI / orientation investissement,a confirmer par service competent,dossier depose dans mauvais service,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0106 permet d'instruire une autorisation exploitation commerciale et lister les pieces manquantes.,autorisation exploitation commerciale->exige->certificat de conformite;demande manuscrite;certificat propriete ou bail;statuts societe;demande d'autorisation; Dossier->a_fourni->CIN representant;photos du local;plan cadastral;registre de commerce;demande d'autorisation;certificat propriete ou bail; Dossier->manque->certificat de conformite;demande manuscrite;statuts societe; Risque->ORANGE,https://rabat.eregulations.org/procedure/112/75?l=fr,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0107,2026-08-07,Beni Mellal,services de nettoyage,autorisation activite alimentaire,Depot papier scanne,photos du local; demande manuscrite; plan amenagement; registre de commerce,certificat de conformite; statuts societe; plan cadastral; plan amenagement; certificat propriete ou bail; CIN representant; demande manuscrite,certificat de conformite; statuts societe; plan cadastral; certificat propriete ou bail; CIN representant,division affaires economiques,7 jours,surface local non documentee,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0107 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->certificat de conformite;statuts societe;plan cadastral;plan amenagement;certificat propriete ou bail;CIN representant;demande manuscrite; Dossier->a_fourni->photos du local;demande manuscrite;plan amenagement;registre de commerce; Dossier->manque->certificat de conformite;statuts societe;plan cadastral;certificat propriete ou bail;CIN representant; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0108,2026-08-09,Rabat,agence de voyage,autorisation ouverture etablissement,Depot papier scanne,demande manuscrite; demande d'autorisation; registre de commerce; CIN representant; photos du local,plan amenagement; registre de commerce; certificat propriete ou bail; certificat de conformite; statuts societe; CIN representant,plan amenagement; certificat propriete ou bail; certificat de conformite; statuts societe,CRI / orientation investissement,a confirmer par service competent,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0108 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->plan amenagement;registre de commerce;certificat propriete ou bail;certificat de conformite;statuts societe;CIN representant; Dossier->a_fourni->demande manuscrite;demande d'autorisation;registre de commerce;CIN representant;photos du local; Dossier->manque->plan amenagement;certificat propriete ou bail;certificat de conformite;statuts societe; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0109,2026-08-11,Fes,e-commerce artisanal,autorisation exploitation commerciale,Depot papier scanne,plan cadastral; certificat de conformite; statuts societe,statuts societe; CIN representant; photos du local; demande d'autorisation; certificat de conformite,CIN representant; photos du local; demande d'autorisation,service autorisations economiques,15 jours,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0109 permet d'instruire une autorisation exploitation commerciale et lister les pieces manquantes.,autorisation exploitation commerciale->exige->statuts societe;CIN representant;photos du local;demande d'autorisation;certificat de conformite; Dossier->a_fourni->plan cadastral;certificat de conformite;statuts societe; Dossier->manque->CIN representant;photos du local;demande d'autorisation; Risque->ORANGE,https://rabat.eregulations.org/procedure/112/75?l=fr,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0110,2026-08-13,Agadir,formation professionnelle privee,autorisation ouverture etablissement,Depot papier scanne,demande d'autorisation; registre de commerce; certificat propriete ou bail; demande manuscrite,CIN representant; demande d'autorisation; certificat de conformite; statuts societe; certificat propriete ou bail; demande manuscrite; registre de commerce,CIN representant; certificat de conformite; statuts societe,CRI / orientation investissement,15 jours,dossier depose dans mauvais service,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0110 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->CIN representant;demande d'autorisation;certificat de conformite;statuts societe;certificat propriete ou bail;demande manuscrite;registre de commerce; Dossier->a_fourni->demande d'autorisation;registre de commerce;certificat propriete ou bail;demande manuscrite; Dossier->manque->CIN representant;certificat de conformite;statuts societe; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0111,2026-08-15,Casablanca,fabrication de mobilier,autorisation activite alimentaire,Guichet commune,photos du local; certificat de conformite; statuts societe; certificat propriete ou bail; plan amenagement; plan cadastral; CIN representant,certificat propriete ou bail; certificat de conformite; statuts societe; photos du local; plan amenagement,aucune,plateforme Rokhas,7 jours,dossier depose dans mauvais service,escalade_hitl_orange,ORANGE,Verifier si le dossier AUT-2026-0111 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->certificat propriete ou bail;certificat de conformite;statuts societe;photos du local;plan amenagement; Dossier->a_fourni->photos du local;certificat de conformite;statuts societe;certificat propriete ou bail;plan amenagement;plan cadastral;CIN representant; Dossier->manque->aucune; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0112,2026-08-17,Marrakech,hebergement touristique,autorisation activite alimentaire,Depot papier scanne,demande manuscrite; statuts societe; plan amenagement; CIN representant; certificat de conformite,demande manuscrite; statuts societe; photos du local; demande d'autorisation; certificat de conformite,photos du local; demande d'autorisation,plateforme Rokhas,7 jours,aucun risque majeur,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0112 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->demande manuscrite;statuts societe;photos du local;demande d'autorisation;certificat de conformite; Dossier->a_fourni->demande manuscrite;statuts societe;plan amenagement;CIN representant;certificat de conformite; Dossier->manque->photos du local;demande d'autorisation; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0113,2026-08-19,Tetouan,fabrication de mobilier,autorisation occupation temporaire,Guichet commune,photos du local; plan cadastral; certificat de conformite; statuts societe,statuts societe; certificat propriete ou bail; plan cadastral; photos du local; demande manuscrite,certificat propriete ou bail; demande manuscrite,guichet commune,7 jours,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0113 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->statuts societe;certificat propriete ou bail;plan cadastral;photos du local;demande manuscrite; Dossier->a_fourni->photos du local;plan cadastral;certificat de conformite;statuts societe; Dossier->manque->certificat propriete ou bail;demande manuscrite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0114,2026-08-21,Tanger,imprimerie,autorisation occupation temporaire,Guichet commune,statuts societe; registre de commerce; CIN representant; plan amenagement; photos du local; certificat propriete ou bail; certificat de conformite,certificat propriete ou bail; demande manuscrite; registre de commerce; CIN representant; plan amenagement; photos du local; certificat de conformite,demande manuscrite,division affaires economiques,15 jours,adresse divergente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0114 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->certificat propriete ou bail;demande manuscrite;registre de commerce;CIN representant;plan amenagement;photos du local;certificat de conformite; Dossier->a_fourni->statuts societe;registre de commerce;CIN representant;plan amenagement;photos du local;certificat propriete ou bail;certificat de conformite; Dossier->manque->demande manuscrite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0115,2026-08-23,Fes,fabrication de mobilier,autorisation activite alimentaire,Depot papier scanne,demande d'autorisation; plan amenagement; photos du local; statuts societe; registre de commerce; CIN representant; demande manuscrite,registre de commerce; certificat propriete ou bail; demande manuscrite; demande d'autorisation; photos du local; CIN representant; plan cadastral,certificat propriete ou bail; plan cadastral,division affaires economiques,15 jours,aucun risque majeur,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0115 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->registre de commerce;certificat propriete ou bail;demande manuscrite;demande d'autorisation;photos du local;CIN representant;plan cadastral; Dossier->a_fourni->demande d'autorisation;plan amenagement;photos du local;statuts societe;registre de commerce;CIN representant;demande manuscrite; Dossier->manque->certificat propriete ou bail;plan cadastral; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0116,2026-08-25,Casablanca,imprimerie,autorisation exploitation commerciale,Depot papier scanne,demande manuscrite; plan amenagement; photos du local,plan amenagement; demande manuscrite; demande d'autorisation; statuts societe; registre de commerce; CIN representant; certificat propriete ou bail; plan cadastral,demande d'autorisation; statuts societe; registre de commerce; CIN representant; certificat propriete ou bail; plan cadastral,CRI / orientation investissement,7 jours,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0116 permet d'instruire une autorisation exploitation commerciale et lister les pieces manquantes.,autorisation exploitation commerciale->exige->plan amenagement;demande manuscrite;demande d'autorisation;statuts societe;registre de commerce;CIN representant;certificat propriete ou bail;plan cadastral; Dossier->a_fourni->demande manuscrite;plan amenagement;photos du local; Dossier->manque->demande d'autorisation;statuts societe;registre de commerce;CIN representant;certificat propriete ou bail;plan cadastral; Risque->ORANGE,https://rabat.eregulations.org/procedure/112/75?l=fr,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0117,2026-08-27,Oujda,services de nettoyage,autorisation enseigne,CRI,certificat de conformite; photos du local; demande manuscrite; certificat propriete ou bail; CIN representant; plan amenagement,certificat de conformite; statuts societe; registre de commerce; demande manuscrite; plan amenagement; certificat propriete ou bail; photos du local,statuts societe; registre de commerce,plateforme Rokhas,30 jours,adresse divergente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0117 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->certificat de conformite;statuts societe;registre de commerce;demande manuscrite;plan amenagement;certificat propriete ou bail;photos du local; Dossier->a_fourni->certificat de conformite;photos du local;demande manuscrite;certificat propriete ou bail;CIN representant;plan amenagement; Dossier->manque->statuts societe;registre de commerce; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0118,2026-08-29,Tetouan,agence de voyage,autorisation occupation temporaire,Depot papier scanne,demande manuscrite; plan cadastral; certificat de conformite; certificat propriete ou bail,certificat de conformite; registre de commerce; CIN representant; plan cadastral; demande d'autorisation; demande manuscrite,registre de commerce; CIN representant; demande d'autorisation,service autorisations economiques,15 jours,piece identite absente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0118 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->certificat de conformite;registre de commerce;CIN representant;plan cadastral;demande d'autorisation;demande manuscrite; Dossier->a_fourni->demande manuscrite;plan cadastral;certificat de conformite;certificat propriete ou bail; Dossier->manque->registre de commerce;CIN representant;demande d'autorisation; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0119,2026-08-31,Meknes,prestataire informatique,autorisation occupation temporaire,Depot papier scanne,demande d'autorisation; plan cadastral; certificat propriete ou bail; photos du local; plan amenagement; certificat de conformite; demande manuscrite,registre de commerce; demande manuscrite; photos du local; plan cadastral; CIN representant; certificat de conformite; statuts societe; plan amenagement,registre de commerce; CIN representant; statuts societe,guichet commune,30 jours,surface local non documentee,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0119 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->registre de commerce;demande manuscrite;photos du local;plan cadastral;CIN representant;certificat de conformite;statuts societe;plan amenagement; Dossier->a_fourni->demande d'autorisation;plan cadastral;certificat propriete ou bail;photos du local;plan amenagement;certificat de conformite;demande manuscrite; Dossier->manque->registre de commerce;CIN representant;statuts societe; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0120,2026-09-02,Agadir,e-commerce artisanal,autorisation enseigne,Depot papier scanne,certificat de conformite; CIN representant; registre de commerce; plan cadastral; plan amenagement,demande manuscrite; certificat de conformite; statuts societe; registre de commerce; demande d'autorisation; CIN representant; photos du local,demande manuscrite; statuts societe; demande d'autorisation; photos du local,service autorisations economiques,a confirmer par service competent,risque hygiene/securite,demande_complement,ROUGE,Verifier si le dossier AUT-2026-0120 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->demande manuscrite;certificat de conformite;statuts societe;registre de commerce;demande d'autorisation;CIN representant;photos du local; Dossier->a_fourni->certificat de conformite;CIN representant;registre de commerce;plan cadastral;plan amenagement; Dossier->manque->demande manuscrite;statuts societe;demande d'autorisation;photos du local; Risque->ROUGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0121,2026-09-04,Agadir,hebergement touristique,autorisation activite alimentaire,CRI,certificat propriete ou bail; registre de commerce; photos du local,plan amenagement; registre de commerce; demande manuscrite; photos du local; certificat de conformite; CIN representant; statuts societe,plan amenagement; demande manuscrite; certificat de conformite; CIN representant; statuts societe,guichet commune,a confirmer par service competent,adresse divergente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0121 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->plan amenagement;registre de commerce;demande manuscrite;photos du local;certificat de conformite;CIN representant;statuts societe; Dossier->a_fourni->certificat propriete ou bail;registre de commerce;photos du local; Dossier->manque->plan amenagement;demande manuscrite;certificat de conformite;CIN representant;statuts societe; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0122,2026-09-06,Rabat,prestataire informatique,autorisation enseigne,Rokhas,statuts societe; certificat propriete ou bail; CIN representant; demande manuscrite,photos du local; demande manuscrite; plan amenagement; CIN representant; certificat propriete ou bail; certificat de conformite; demande d'autorisation; plan cadastral,photos du local; plan amenagement; certificat de conformite; demande d'autorisation; plan cadastral,plateforme Rokhas,7 jours,dossier depose dans mauvais service,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0122 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->photos du local;demande manuscrite;plan amenagement;CIN representant;certificat propriete ou bail;certificat de conformite;demande d'autorisation;plan cadastral; Dossier->a_fourni->statuts societe;certificat propriete ou bail;CIN representant;demande manuscrite; Dossier->manque->photos du local;plan amenagement;certificat de conformite;demande d'autorisation;plan cadastral; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0123,2026-09-08,Fes,atelier mecanique,autorisation exploitation commerciale,Rokhas,statuts societe; CIN representant; demande manuscrite; photos du local; registre de commerce; plan amenagement,demande manuscrite; certificat propriete ou bail; certificat de conformite; registre de commerce; statuts societe; plan amenagement; demande d'autorisation; plan cadastral,certificat propriete ou bail; certificat de conformite; demande d'autorisation; plan cadastral,service autorisations economiques,30 jours,piece identite absente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0123 permet d'instruire une autorisation exploitation commerciale et lister les pieces manquantes.,autorisation exploitation commerciale->exige->demande manuscrite;certificat propriete ou bail;certificat de conformite;registre de commerce;statuts societe;plan amenagement;demande d'autorisation;plan cadastral; Dossier->a_fourni->statuts societe;CIN representant;demande manuscrite;photos du local;registre de commerce;plan amenagement; Dossier->manque->certificat propriete ou bail;certificat de conformite;demande d'autorisation;plan cadastral; Risque->ORANGE,https://rabat.eregulations.org/procedure/112/75?l=fr,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
